Name,Description,Length,Biking,Skiing,Horseriding,Skating,Walking,ATV,Snowmobile,Usage,Highway,Paved,Gravel,Stone Dust,Dirt,Boardwalk,SurfaceTyp
NY 65 Clover Street BIcycle Route,NY 65 Clover Street is signed as an on-road bicycle route for 8.1 miles from Mendon Ponds Park to East Avenue in the Town of Brighton,8.1,Y,,Y,Y,Y,,,"Walking, Biking, Skating, Horse Riding",Shoulder Lane,Y,,,,,Paved
Lake Ontario State Parkway,The Lake Ontario State Parkway is a 35.05 mile parkway along the southern shore of Lake Ontario. The parkway has four travel lanes (two in each direction) with a six foot shoulder. The Parkway was opened for cycling in the early 1980's.   Its eastern ter,35.05,Y,,,,,,,Biking,Shoulder Lane,Y,,,,,Paved
State Bike Route 25,"NY 25 State Bike Route begins at the intersection of NY Route 25, NY Route 25A and NY Route 111, a half mile east of the Town of Smithtown central business district and it continues northeast along NY Route 25A and then diverts to local roads in St James",67,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
State Bike Route 27,State Bicycle Route 27 is a signed on-road bicycle route that extends 30 miles along the South Fork of eastern Long Island from Southampton Village to the historic Montauk Point Lighthouse. State Bicycle Route 27 connects with State Bicycle Route 114 in,30,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
Hempstead Lake State Park,"Hempstead Lake State Park is a multi use facility. Included are 20 tennis courts, children's playgrounds, basketball courts, bridle trails for horse back riding, biking and hiking trails, shaded picnic areas and a historic hand carved wooden carousel. Th",3,Y,Y,Y,,Y,,,"Walking, Biking, Horse Riding, Skiing",Off Road,Y,,,,,Paved
US Route 11 and Black River Trail,"The Black River Trail is a NY State Scenic Byway. The trail runs from Rome, through the tug hill plateau along the western edge of the Adirondacks, to Ogdensburg.",,Y,Y,Y,Y,N,N,N,"Biking, Skating, Horse Riding, Skiing",Shared Roadway,Y,N,N,N,N,Paved
Olympic Trail,The Olympic Trail is a NY State Scenic Byway traversing the state from Sackets Harbor on Lake Ontario to Keeseville near Lake Champlain. The highlight of the route is Lake Placid which hosted the Winter Olympic Games in 1932 and 1980.,170,Y,Y,Y,Y,,,,"Biking, Skating, Horse Riding, Skiing",Shared Roadway,Y,Y,Y,,,"Paved, Gravel, Stone Dust"
Adirondack Trail,"The Adirondack Trail is a NY State Scenic Byway.  Running from the southern to the northern border of the Adirondacks, there are plenty of roadside views through the Adirondack Park.",188,Y,Y,Y,Y,,,,"Biking, Skating, Horse Riding, Skiing",Off Road,Y,Y,,Y,,"Paved, Gravel, Dirt"
State Bike Route 19,"State Bicycle Route 19 is a signed, on-road bicycle route that extends 109 miles from the Pennsylvania state line near the Village of Shongo to Hamlin Beach State Park on the shores of Lake Ontario.  This route intersects New York State Bicycle Routes 5",109,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
State Bike Route 14,"State Bicycle Route 14 is a signed, on-road bicycle route that extends 95 miles from the Pennsylvania state line near Elmira to Sodus Point on the shores of Lake Ontario.  This route connects with Pennsylvania State Bicycle Route G.  It also intersects N",95,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
