enlisted,pay_grade,single without children male,single without children female,single without children total,single with children male,single with children female,single with children total,joint service marriage male,joint service marriage female,joint service marriage total,civilian marriage male,civilian marriage female,civilian marriage total,male marriage total,female marriage total,total marriage total
E,1,7721,1550,9271,27,5,32,49,27,76,1064,178,1242,8861,1760,10621
E,2,4380,1010,5390,33,9,42,97,105,202,802,163,965,5312,1287,6599
E,3,29725,7108,36833,396,266,662,1258,1687,2945,10436,1631,12067,41815,10692,52507
E,4,20805,4756,25561,987,842,1829,3036,3207,6243,15363,1769,17132,40191,10574,50765
E,5,14623,4104,18727,2755,2171,4926,6154,5519,11673,31711,2889,34600,55243,14683,69926
E,6,3660,1377,5037,2446,1449,3895,3654,3263,6917,23868,2026,25894,33628,8115,41743
E,7,1441,617,2058,1539,734,2273,2118,1419,3537,17290,1188,18478,22388,3958,26346
E,8,182,139,321,236,110,346,505,241,746,3655,228,3883,4578,718,5296
E,9,83,48,131,106,39,145,204,73,277,1975,108,2083,2368,268,2636
O,1,3831,1068,4899,45,43,88,182,265,447,1693,211,1904,5751,1587,7338
O,2,2710,819,3529,63,45,108,381,472,853,2443,310,2753,5597,1646,7243
O,3,4035,1642,5677,338,295,633,1378,1256,2634,11841,1436,13277,17592,4629,22221
O,4,1077,597,1674,293,191,484,969,655,1624,9545,995,10540,11884,2438,14322
O,5,425,300,725,212,94,306,590,321,911,7608,607,8215,8835,1322,10157
O,6,101,107,208,67,20,87,174,58,232,3015,230,3245,3357,415,3772
O,7,0,2,2,1,0,1,5,5,10,131,5,136,137,12,149
O,8,1,3,4,0,0,0,4,1,5,86,7,93,91,11,102
O,9,0,0,0,0,0,0,1,0,1,35,1,36,36,1,37
O,10,0,0,0,0,0,0,1,0,1,12,0,12,13,0,13
