enlisted,pay_grade,single without children male,single without children female,single without children total,single with children male,single with children female,single with children total,joint service marriage male,joint service marriage female,joint service marriage total,civilian marriage male,civilian marriage female,civilian marriage total,male marriage total,female marriage total,total marriage total
E,1,7820,2275,10095,117,34,151,30,57,87,806,162,968,8773,2528,11301
E,2,11198,2718,13916,237,87,324,113,164,277,2474,388,2862,14022,3357,17379
E,3,28163,6396,34559,681,788,1469,861,1288,2149,11297,1791,13088,41002,10263,51265
E,4,23285,4266,27551,967,949,1916,1526,1691,3217,16277,1768,18045,42055,8674,50729
E,5,18856,3649,22505,2837,1787,4624,2191,2099,4290,31491,2272,33763,55375,9807,65182
E,6,5917,1429,7346,2725,1284,4009,1654,1461,3115,30404,1561,31965,40700,5735,46435
E,7,1294,395,1689,1371,382,1753,759,506,1265,16449,527,16976,19873,1810,21683
E,8,219,84,303,329,70,399,186,66,252,4935,146,5081,5669,366,6035
E,9,96,56,152,118,21,139,54,16,70,2171,57,2228,2439,150,2589
O,1,3529,911,4440,83,50,133,108,158,266,1864,201,2065,5584,1320,6904
O,2,2358,664,3022,98,54,152,163,220,383,2519,263,2782,5138,1201,6339
O,3,3263,1177,4440,338,158,496,450,556,1006,9436,806,10242,13487,2697,16184
O,4,862,380,1242,274,108,382,282,310,592,7413,569,7982,8831,1367,10198
O,5,344,209,553,168,43,211,147,179,326,5395,415,5810,6054,846,6900
O,6,99,112,211,74,31,105,58,48,106,2700,215,2915,2931,406,3337
O,7,1,0,1,2,0,2,1,0,1,107,9,116,111,9,120
O,8,2,3,5,0,0,0,1,0,1,64,4,68,67,7,74
O,9,0,1,1,1,0,1,0,0,0,41,0,41,42,1,43
O,10,0,0,0,0,0,0,0,0,0,10,0,10,10,0,10
W,2,19,10,29,27,4,31,22,6,28,418,6,424,486,26,512
W,3,13,14,27,33,6,39,21,6,27,578,10,588,645,36,681
W,4,9,8,17,25,3,28,11,1,12,350,4,354,395,16,411
W,5,2,0,2,1,0,1,0,0,0,56,1,57,59,1,60
