enlisted,pay_grade,single without children male,single without children female,single without children total,single with children male,single with children female,single with children total,joint service marriage male,joint service marriage female,joint service marriage total,civilian marriage male,civilian marriage female,civilian marriage total,male marriage total,female marriage total,total marriage total
E,1,31229,5717,36946,563,122,685,139,141,280,5060,719,5779,36991,6699,43690
E,2,53094,8388,61482,1457,275,1732,438,579,1017,12483,1682,14165,67472,10924,78396
E,3,131091,21019,152110,4264,1920,6184,3579,4902,8481,54795,6641,61436,193729,34482,228211
E,4,112710,16381,129091,9491,4662,14153,8661,9778,18439,105556,9961,115517,236418,40782,277200
E,5,57989,11021,69010,10937,6576,17513,12459,11117,23576,130944,8592,139536,212329,37306,249635
E,6,19125,4654,23779,10369,4962,15331,8474,6961,15435,110322,5827,116149,148290,22404,170694
E,7,5446,1913,7359,6530,2585,9115,5065,3291,8356,70001,3206,73207,87042,10995,98037
E,8,1009,438,1447,1786,513,2299,1423,651,2074,21079,820,21899,25297,2422,27719
E,9,381,202,583,579,144,723,458,150,608,8215,291,8506,9633,787,10420
O,1,13495,3081,16576,402,229,631,426,669,1095,6959,828,7787,21282,4807,26089
O,2,11029,2715,13744,426,299,725,910,1194,2104,10070,1096,11166,22435,5304,27739
O,3,14551,5056,19607,1442,940,2382,3017,3174,6191,38963,3886,42849,57973,13056,71029
O,4,3480,1720,5200,1190,534,1724,1958,1639,3597,31864,2416,34280,38492,6309,44801
O,5,1244,810,2054,729,267,996,1072,806,1878,22296,1578,23874,25341,3461,28802
O,6,353,349,702,261,94,355,364,182,546,10004,715,10719,10982,1340,12322
O,7,5,7,12,7,1,8,9,6,15,410,18,428,431,32,463
O,8,4,7,11,0,0,0,7,2,9,272,16,288,283,25,308
O,9,1,1,2,1,0,1,1,1,2,144,1,145,147,3,150
O,10,1,0,1,0,0,0,1,1,2,35,0,35,37,1,38
W,1,354,68,422,160,81,241,113,107,220,2371,97,2468,2998,353,3351
W,2,658,151,809,358,143,501,295,204,499,5164,134,5298,6475,632,7107
W,3,221,77,298,283,88,371,178,110,288,3790,94,3884,4472,369,4841
W,4,116,47,163,169,35,204,117,45,162,2567,71,2638,2969,198,3167
W,5,25,12,37,24,2,26,11,5,16,650,13,663,710,32,742
